Codice identificativo	tags
20240106-1630	Teoria del valore lavoro, Adam Smith, David Ricardo.
20240106-1818	Scuola storica, economisti tedeschi, protezionismo, antiliberalismo
20240106-1823	Fisiocrazia, Quesnay, legge naturale, classe sterile 
20240106-1824	Scuola socialista, opposizione al capitalismo, Karl Marx plus valore. Plus valore, aumento capitale
20240106-1826	legge di Say, legge degli sbocchi, critiche e presupposti 
20240106-1828	Una lista delle scuole economiche di maggior rilievo 
20240106-1832	Karl Marx, plus valore, alienazione, struttura, sovrastruttura 
20240106-1834	Scuola neoclassica, metodo deduttivo, matematico 
20240106-1835	Adam Smith, divisione del lavoro, specializzazione, mano invisibile 
20240106-1838	Scuola classica, fisiocrazia, Adam Smith, David Ricardo, armonia della natura 
20240106-1846	lista motivazione sogni responsabilità 
20240106-2130	Rendita differenziale, terreni coltivabili, Ricardo, fertilità 
20240106-2202	Presupposti della rendita differenziale, produttività, Ricardo 
20240106-2219	Differenza tra lavoro diretto ed indiretto, valore di scambio, David Ricardo, divisione del lavoro 
20240106-2244	teoria dei costi comparati, Ricardo, globalizzazione specializzazione 
20240106-2254	Le fonti europee, derivate, primare e convenzionali. TUE, TFUE, Euratom 
20240106-2256	fonti europee vincolanti, direttive, regolamenti 
20240106-2258	Territorio di uno stato, terraferma, piattaforma continentale, cittadinanza 
20240107-1443	Diventare data analyst, data manipulation, data cleansing, cleaning, data scientist. 
20240107-1507	Karl Marx, plus valore, alienazione, capitalismo, merce. 
20240107-1752	curva di indifferenza, paniere di beni 
20240107-1759	utilità marginale, neoclassici, marginalisti, legge di gossen, utilità marginale decrescente 
20240107-1800	utilità marginale esempio 
20240107-1807	plus valore
20240107-1859	massimizzare il profitto, costo marginale, ricavo, profitto 
20240107-2219	Germania, USA, America, seconda guerra mondiale 
20240107-2221	distruzione creatrice in italia, seconda guerra mondiale 
20240107-2222	cash and carry,lend lease, armi, affitti e prestiti 
20240108-1132	diventare ceo, business analyst, R, libri di data science, università, corso google
20240108-1133	accordi di  Bretton Woods, seconda guerra mondiale, GATT, WTO, OMC 
20240108-1141	stato assoluto, autorità, società 
20240108-1144	stato totalitario, totalitarismo, dittatura, stato di polizia, partito unico 
20240108-1156	stato liberale, divieto di mandato imperativo, stato monoclasse 
20240108-1220	stato monoclasss, borghesia, suffraggio ristretto 
20240108-1223	stato monoclasse, liberale, borghesia, capitalismo, proprietà privata 
20240110-1551	argomenti da studiare di matematica, esame 
20240110-1553	serie di potenze, intervallo e raggio di convergenza 
20240110-1847	gatt e wto, commercio internazionale 
20240110-2027	BIRS, Banca internzionale per la ricostruzione e lo sviluppo, accordi di bretton woods 
20240111-0931	Keep it simple, copy what works, Te
20240111-1009	welfare state, stato del benessere, gravidanza, vecchiaia 
